Index,Sample,Report,Series,Longitude,Latitude,Datum,Rock_Class,Rock_Type,Rock_Name,Description,Rcvd_Sample_Wt_kg,SiO2_%_ME_XRF26,TiO2_%_ME_XRF26,Al2O3_%_ME_XRF26,Fe2O3_%_ME_XRF26,MnO_%_ME_XRF26,MgO_%_ME_XRF26,CaO_%_ME_XRF26,Na2O_%_ME_XRF26,K2O_%_ME_XRF26,P2O5_%_ME_XRF26,BaO_%_ME_XRF26,Cr2O3_%_ME_XRF26,SrO_%_ME_XRF26,LOI_%_OA_GRA05x,Total_%_ME_XRF26,SiO2_%_ME_ICP06,TiO2_%_ME_ICP06,Al2O3_%_ME_ICP06,Fe2O3_%_ME_ICP06,MnO_%_ME_ICP06,MgO_%_ME_ICP06,CaO_%_ME_ICP06,Na2O_%_ME_ICP06,K2O_%_ME_ICP06,P2O5_%_ME_ICP06,BaO_%_ME_ICP06,Cr2O3_%_ME_ICP06,SrO_%_ME_ICP06,LOI_%_OA_GRA05,Total_%_TOT_ICP06,S_%_S_IR,C_%_C_IR,Ba_ppm_ME_MS81,Ce_ppm_ME_MS81,Cr_ppm_ME_MS81,Cs_ppm_ME_MS81,Dy_ppm_ME_MS81,Er_ppm_ME_MS81,Eu_ppm_ME_MS81,Ga_ppm_ME_MS81,Gd_ppm_ME_MS81,Ge_ppm_ME_MS81,Hf_ppm_ME_MS81,Ho_ppm_ME_MS81,La_ppm_ME_MS81,Lu_ppm_ME_MS81,Nb_ppm_ME_MS81,Nd_ppm_ME_MS81,Pr_ppm_ME_MS81,Rb_ppm_ME_MS81,Sm_ppm_ME_MS81,Sn_ppm_ME_MS81,Sr_ppm_ME_MS81,Ta_ppm_ME_MS81,Tb_ppm_ME_MS81,Th_ppm_ME_MS81,Tm_ppm_ME_MS81,U_ppm_ME_MS81,V_ppm_ME_MS81,W_ppm_ME_MS81,Y_ppm_ME_MS81,Yb_ppm_ME_MS81,Zr_ppm_ME_MS81,Ag_ppm_ME_4ACD81,As_ppm_ME_4ACD81,Cd_ppm_ME_4ACD81,Co_ppm_ME_4ACD81,Cu_ppm_ME_4ACD81,Li_ppm_ME_4ACD81,Mo_ppm_ME_4ACD81,Ni_ppm_ME_4ACD81,Pb_ppm_ME_4ACD81,Sc_ppm_ME_4ACD81,Tl_ppm_ME_4ACD81,Zn_ppm_ME_4ACD81,As_ppm_ME_MS42,Bi_ppm_ME_MS42,Hg_ppm_ME_MS42,In_ppm_ME_MS42,Re_ppm_ME_MS42,Sb_ppm_ME_MS42,Sc_ppm_ME_MS42,Se_ppm_ME_MS42,Te_ppm_ME_MS42,Tl_ppm_ME_MS42,Nb_ppm_ME_XRF05,Y_ppm_ME_XRF05,Zr_ppm_ME_XRF05,Ni_%_Ni_OG62
90,13SK112A,FA14029267,Ksed_Old Man,-152.3058,62.0439,WGS84,Sedimentary,,shale,very fine-grained sandstone ,0.32,70.8,0.52,11.55,7.91,0.07,2.21,0.97,1.67,1.08,0.17,0.06,0.01,0.02,2.54,100.25,,,,,,,,,,,,,,,,0.24,0.35,564,34.5,100,3.07,3.09,1.72,0.89,12.8,3.17,,3.7,0.64,16.3,0.28,7.7,15.4,4.15,52.9,3.32,1,171,0.5,0.5,6.03,0.24,2.57,105,1,17.2,1.56,140,-0.5,,1.5,22,104,40,1,78,28,11,,191,1.6,0.39,0.035,,,0.73,,4,0.05,0.43,,,,
91,13SK113A,FA14029267,LC,-152.3052,62.0437,WGS84,Igneous,Plutonic,quartz monzonite,fine grained granodiorite/quartz monzonite ,0.41,61.2,0.76,15.35,6.25,0.12,3.72,4.65,3.16,2.63,0.26,0.14,0.01,0.09,0.82,99.44,,,,,,,,,,,,,,,,0.14,0.01,1380,67.2,100,2.59,3.08,1.74,1.33,19.9,3.97,,4.6,0.6,36.7,0.25,15.3,26.6,7.51,78.2,5.12,-1,815,1.1,0.57,11.65,0.23,3.61,154,-1,17.2,1.56,189,-0.5,,-0.5,12,27,20,-1,22,10,14,,85,2,0.06,0.01,,,0.18,,0.8,0.03,0.39,,,,
92,13SK115A,FA14029267,LC,-152.302,62.0419,WGS84,Igneous,Plutonic,granodiorite,fine grained granodiorite/quartz monzonite; planar quartz veins-pyrite ,0.48,61.2,0.79,15.4,6.07,0.11,3.78,4.63,3.15,2.85,0.26,0.14,0.01,0.08,0.99,99.96,,,,,,,,,,,,,,,,0.18,0.06,1300,58.6,100,2.74,3.04,1.65,1.3,19.3,3.62,,4.7,0.61,31.6,0.24,14.9,22.9,6.54,83.7,4.39,1,722,1.1,0.52,11.2,0.23,4.01,145,1,16.4,1.57,198,-0.5,,-0.5,13,37,20,-1,24,6,14,,67,2.8,0.42,0.015,,,0.21,,0.6,0.05,0.36,,,,
93,13SK125B,FA14029267,Ksed_Whistler,-152.0637,62.0911,WGS84,Sedimentary,,argillite,black silky shale; Whistler petrofacies of Box et al 2019 ,0.27,62.5,0.79,19.1,5,0.03,1.68,0.15,1.47,3.5,0.13,0.22,0.02,0.01,4.77,99.48,,,,,,,,,,,,,,,,0.02,0.9,2180,54.1,130,5.73,3.61,2.4,1.04,23.4,3.78,,3.7,0.74,27.5,0.36,10.5,25.1,6.72,126.5,4.91,2,93.1,0.7,0.5,8.91,0.37,3.27,247,2,21,2.56,127,-0.5,,0.5,21,90,30,2,95,16,20,,114,21.3,0.34,0.062,,,0.87,,0.4,0.09,0.07,,,,
94,13SK130B,FA14029267,Ksed_Whistler,-152.0424,62.0926,WGS84,Sedimentary,,siltstone,"siltstone, micaceous black shale; Whistler petrofacies of Box et al 2019 ",0.23,62.4,0.87,18.05,5.24,0.02,1.62,0.29,1.48,3.35,0.17,0.19,0.02,0.02,5.74,99.59,,,,,,,,,,,,,,,,0.04,1.58,1940,72.1,160,7,4.36,3.13,1.22,23.4,4.48,,5,0.94,36.5,0.46,13.5,31.3,8.55,130.5,5.97,2,157,0.9,0.69,11.55,0.42,4.09,240,2,27.2,3.07,190,-0.5,,0.5,13,49,30,1,63,18,19,,127,10.2,0.35,0.122,,,0.82,,0.9,0.06,0.08,,,,
95,13SK136B,FA14029267,P_volc,-152.1446,61.903,WGS84,Igneous,Volcanic,dacite,porphyritic dacite dike ,0.44,58.7,0.98,16.6,6.47,0.13,3.24,4.39,4.97,2.38,0.29,0.12,-0.01,0.14,1.3,100.2,,,,,,,,,,,,,,,,0.18,0.03,1155,63,30,0.68,3.88,2.26,1.71,22.8,4.94,,4.8,0.76,32,0.34,16.1,28.1,7.54,46.6,5.85,1,1320,1,0.69,6.33,0.31,2.73,176,-1,21.9,2.05,191,-0.5,,-0.5,13,24,10,-1,10,11,12,,87,0.7,0.09,0.242,,,0.16,,0.5,0.01,-0.02,,,,
96,13SK157B,FA14029267,P_volc,-152.4016,61.7696,WGS84,Igneous,Volcanic,basalt,12SB159 revisited; basalt dike ,0.64,47.7,1.77,15.8,10.6,0.17,5.79,9.64,2.39,0.66,0.57,0.06,0.03,0.07,4.19,99.74,,,,,,,,,,,,,,,,0.09,0.58,559,49.4,190,0.68,4.95,2.88,2.17,18.9,5.96,,4.1,1.03,21.8,0.41,9.4,27,6.53,7.7,5.8,1,578,0.5,0.86,2.62,0.39,0.74,243,-1,26.9,2.52,178,-0.5,,-0.5,29,38,40,-1,92,6,25,,101,1.7,0.03,0.007,,,0.92,,0.7,0.01,0.02,,,,
97,13SK163A,FA14029267,MLC_dikes,-152.6304,61.8181,WGS84,Igneous,Plutonic,diorite,diorite sill ,0.6,50.1,0.74,15.2,10.45,0.19,5.56,8.54,3.85,1.59,0.55,0.06,0.01,0.06,2.77,99.9,,,,,,,,,,,,,,,,0.06,0.09,532,24.4,80,0.36,3.66,2.17,1.1,16.2,3.73,,2,0.74,11.2,0.31,4,13.7,3.26,26.9,3.28,1,538,0.2,0.59,1.52,0.32,0.72,295,-1,19.9,2.12,71,-0.5,,-0.5,35,80,50,-1,34,14,36,,94,2.4,0.03,0.008,,,0.11,,0.5,0.01,0.02,,,,
98,13SK165A,FA14029267,Ksed_Dalzell,-154.3108,61.2508,WGS84,Sedimentary,,sandstone,fine grained sandstone-Kahiltna hornfels ,0.88,64.2,0.75,15.1,7.27,0.09,2.73,0.76,1.53,2.86,0.32,0.18,0.02,0.01,3.49,100.1,,,,,,,,,,,,,,,,0.3,0.97,1730,61.7,160,14.55,4.53,2.87,1.35,19.5,4.95,,4.8,0.92,30,0.4,14,27,7.31,142,5.7,2,139,0.9,0.74,9.12,0.4,3.23,246,1,26,2.56,180,-0.5,,-0.5,18,66,100,1,70,18,17,,172,55.2,0.24,-0.005,,,0.44,,2.4,0.08,0.5,,,,
99,13SK169A,FA14029267,P_plut_TP,-154.301,61.2602,WGS84,Igneous,Plutonic,granite,granite ,1.22,70.8,0.48,14.2,4.02,0.07,0.78,1.98,2.9,3.81,0.22,0.11,-0.01,0.03,0.7,100.2,,,,,,,,,,,,,,,,0.04,0.04,1070,70.3,20,9.22,5,2.52,1.07,20,5.94,,6,0.97,33.3,0.37,14,30.7,8.61,165.5,6.94,5,203,1.2,0.85,11.55,0.36,4.57,38,1,27.1,2.47,221,-0.5,,-0.5,5,16,90,-1,11,23,8,,84,16,0.69,0.005,,,0.07,,0.8,0.02,0.6,,,,
100,13SK176A,FA14029267,E_plut,-153.8357,61.3781,WGS84,Igneous,Plutonic,granite,coarse grained porphyritic biotite granite ,0.45,74,0.2,13.5,2.53,0.04,0.32,1.59,3.89,3.37,0.06,0.18,-0.01,0.02,0.23,99.96,,,,,,,,,,,,,,,,0.01,0.02,1730,61.4,10,2.7,3.34,2.02,0.73,18.5,3.72,,6.5,0.68,32,0.31,8,24,7.01,96,4.55,1,178.5,0.5,0.54,13.95,0.28,4.07,14,-1,19.4,1.98,235,-0.5,,-0.5,2,-1,30,-1,1,13,4,,39,1.2,0.03,-0.005,,,0.11,,0.3,-0.01,0.31,,,,
101,13SK176B,FA14029267,E_Mg_plut,-153.8357,61.3781,WGS84,Igneous,Plutonic,granodiorite,fine grained equigranular granodiorite ,0.92,65.7,0.66,15.7,5.19,0.09,1.89,4.07,3.57,2.88,0.18,0.12,-0.01,0.04,0.46,100.6,,,,,,,,,,,,,,,,-0.01,0.01,1045,49.9,30,5.49,4.07,2.42,1.15,18.8,4.44,,4.7,0.83,24,0.31,7.8,23.1,6.16,107.5,5.24,2,332,0.6,0.7,9.9,0.33,5.93,99,-1,22.4,2.16,186,-0.5,,-0.5,9,3,40,-1,9,11,11,,72,2.1,0.03,-0.005,,,0.06,,0.4,-0.01,0.54,,,,
102,13SK177,FA14029267,E_plut,-153.7995,61.4356,WGS84,Igneous,Plutonic,granodiorite,"granodiorite, seriate, biotite > hornblende ",0.71,63.9,0.42,16.85,4.55,0.1,0.36,2.14,4.67,4.31,0.07,1.34,-0.01,0.05,0.36,99.22,,,,,,,,,,,,,,,,0.05,0.03,10000.1,40.7,10,7.13,4.26,2.47,2.94,20,5.05,,12.4,0.82,18.9,0.38,10.4,22.7,5.45,95.7,5.47,2,400,0.6,0.72,5.79,0.34,3.07,35,-1,22,2.3,616,-0.5,,-0.5,2,1,20,-1,-1,13,27,,66,2.9,0.03,-0.005,,,0.23,,0.3,-0.01,0.36,,,,
103,13SK178C,FA14029267,P_plut_TP_Mg,-153.9468,61.4172,WGS84,Igneous,Plutonic,granite,8m dike; fine grained biotite granite ,0.73,72.2,0.43,13.7,3.17,0.05,0.83,2.37,2.95,3.02,0.07,0.1,-0.01,0.03,0.49,99.45,,,,,,,,,,,,,,,,-0.01,0.04,949,100,30,6.46,3.28,1.61,1.35,16.5,5.31,,5.4,0.6,53.3,0.27,10.1,41.5,11.6,100,7.73,2,311,0.8,0.6,30.6,0.21,3.16,35,1,16.2,1.55,195,-0.5,,-0.5,4,-1,40,-1,9,21,6,,52,0.3,0.01,-0.005,,,0.05,,0.3,-0.01,0.43,,,,
104,13SK178D,FA14029267,E_Mg_volc,-153.9468,61.4172,WGS84,Igneous,Volcanic,andesite,porphyritic andesite ,0.5,61.4,0.89,16,6.24,0.1,2.27,5.04,3.04,2.38,0.26,0.16,-0.01,0.05,2.31,100.25,,,,,,,,,,,,,,,,0.01,0.49,1485,56.5,30,13.3,4.32,2.28,1.75,19.7,5.52,,5.1,0.81,26.9,0.31,10.7,27.5,7.11,90.9,6.13,2,429,0.8,0.8,7.43,0.31,2.66,94,1,23,2.01,200,-0.5,,-0.5,16,7,70,1,9,11,13,,105,1.1,0.07,0.005,,,0.05,,0.8,0.01,0.59,,,,
105,13SK179C,FA14029267,P_plut_TP_Mg,-153.948,61.4145,WGS84,Igneous,Plutonic,granodiorite,granodiorite dike cuts migmatite ,0.52,70.4,0.54,14.35,3.92,0.05,1.01,2.42,2.99,2.8,0.14,0.13,-0.01,0.04,0.82,99.65,,,,,,,,,,,,,,,,-0.01,0.05,1255,118.5,30,7.75,3.36,1.55,1.55,18.5,5.78,,5.1,0.58,61.3,0.28,11.8,47.3,13.65,112,8.27,2,335,0.9,0.67,25.5,0.23,2.77,48,1,16.6,1.81,193,-0.5,,-0.5,6,1,100,-1,15,15,7,,66,0.8,0.02,-0.005,,,-0.05,,0.4,-0.01,0.55,,,,
106,13SK182A,FA14029267,P_plut_TP_Mg,-153.9414,61.4082,WGS84,Igneous,Plutonic,granite,25m biotite granite dike in hornfelsed sediments ,0.66,70.1,0.54,15.05,3.98,0.05,1.19,2.53,3.41,2.4,0.12,0.15,0.01,0.04,0.62,100.25,,,,,,,,,,,,,,,,0.02,0.03,1430,97.2,40,4.89,2.95,1.41,1.75,19.1,4.79,,5.2,0.52,49.3,0.18,11.5,38,11.3,93.7,6.95,2,379,0.9,0.58,19.85,0.19,2.8,51,1,14.1,1.18,201,-0.5,,-0.5,7,-1,50,-1,15,16,8,,85,0.5,0.05,-0.005,,,-0.05,,0.3,-0.01,0.52,,,,
107,13SK183A,FA14029267,EO,-154.1189,61.9864,WGS84,Igneous,Plutonic,granite,alkali granite ,0.59,76,0.1,12.65,1.69,0.02,0.03,0.4,3.68,5.08,-0.01,0.02,-0.01,-0.01,0.18,99.89,,,,,,,,,,,,,,,,-0.01,0.01,130,98.4,10,8.48,6.49,4,0.21,20.9,5.9,,6.2,1.34,44.8,0.63,16.5,32.6,9.67,224,6.55,5,14.9,1.3,0.96,31.4,0.67,7.9,-5,1,37.4,4.42,204,-0.5,,-0.5,-1,2,80,-1,4,22,1,,36,0.8,0.06,-0.005,,,0.15,,0.3,-0.01,0.23,,,,
108,13SK185A,FA14029267,EO,-154.1381,61.982,WGS84,Igneous,Plutonic,granite,altered alkali granite ,0.56,74.5,0.2,12.35,3.39,0.04,0.08,0.45,3.76,4.65,0.02,0.02,-0.01,-0.01,0.69,100.3,,,,,,,,,,,,,,,,-0.01,0.01,151.5,174.5,10,3.83,15.25,9.76,0.29,30.4,15.15,,18.9,3.24,89.2,1.42,43.4,78.2,21.1,266,16.25,12,26.1,2.5,2.36,28.8,1.46,11.1,-5,4,89.4,9.28,815,-0.5,,0.6,-1,5,60,2,2,55,1,,199,4.5,0.1,-0.005,,,1.32,,1.1,-0.01,0.18,,,,
109,13SK187A,FA14029267,EO_dike,-154.1454,61.981,WGS84,Igneous,Volcanic,felsic,15 m felsic dike ,0.51,74.8,0.15,13.05,2.39,0.04,0.01,0.09,3.97,5.02,0.01,0.02,-0.01,-0.01,0.54,100.15,,,,,,,,,,,,,,,,0.01,0.04,179.5,126.5,10,1.63,8.89,6,0.22,22,8.82,,10.2,1.98,61.4,0.96,24.7,49.1,13.9,241,9.64,11,35.6,1.7,1.39,30.7,0.88,10.85,-5,1,52.9,6.11,324,-0.5,,-0.5,-1,2,70,-1,3,21,2,,75,1.6,0.06,0.005,,,0.21,,0.4,-0.01,0.08,,,,
110,13SK191A,FA14029267,EO,-154.1537,62.0193,WGS84,Igneous,Plutonic,quartz monzonite,quartz monzonite ,0.84,71.6,0.28,13.85,2.9,0.05,0.38,1.38,4.06,4.54,0.06,0.07,-0.01,0.02,0.14,99.39,,,,,,,,,,,,,,,,-0.01,0.02,652,112.5,10,6.96,7.3,4.91,0.57,22.7,7.52,,7.7,1.52,55.6,0.76,20.8,44.9,12.6,183,8.53,8,139,1.3,1.18,31.3,0.72,9.87,14,2,45.5,5.16,308,-0.5,,-0.5,1,-1,70,-1,4,17,3,,70,14.8,0.16,-0.005,,,0.34,,0.6,0.02,0.34,,,,
111,13SK191B,FA14029267,EO,-154.1537,62.0193,WGS84,Igneous,Plutonic,granite ,alkali feldspar granite ,0.55,75.8,0.09,12.45,1.6,0.01,0.02,0.54,3.67,4.95,-0.01,0.01,-0.01,-0.01,0.32,99.5,,,,,,,,,,,,,,,,-0.01,0.04,125.5,93.8,10,2.94,5.43,3.85,0.2,22.1,5.59,,7.1,1.24,47.6,0.67,18.7,34.7,10.3,220,6.64,4,20.3,1.6,0.87,27.9,0.61,6.72,-5,1,35.3,4.14,226,-0.5,,-0.5,-1,-1,30,-1,2,12,1,,25,1.8,0.04,-0.005,,,0.15,,0.4,-0.01,0.06,,,,
112,13SK191C,FA14029267,EO_M_dike,-154.1537,62.0193,WGS84,Igneous,Volcanic,mafic,mafic dike ,0.64,50.8,1.54,16.6,10.1,0.2,6.01,8.6,3.6,1.3,0.34,0.04,0.01,0.04,0.74,100.05,,,,,,,,,,,,,,,,-0.01,0.04,265,36,70,12.1,5.47,3.21,1.44,19.1,5.97,,3.9,1.19,15.1,0.46,10.6,21.8,4.97,75.9,5.45,9,355,0.6,0.95,3.25,0.47,2.08,178,1,30.1,3.02,176,-0.5,,-0.5,28,5,80,-1,29,7,24,,170,3.1,0.05,-0.005,,,0.36,,0.4,0.01,0.88,,,,
113,13SK192B,FA14029267,EO,-154.0296,62.0413,WGS84,Igneous,Volcanic,intermediate dike,5m feldspar porphry dike ,0.49,74.7,0.1,12.55,2.02,0.03,0.04,0.5,4.63,5,-0.01,0.01,-0.01,-0.01,0.06,99.71,,,,,,,,,,,,,,,,-0.01,0.03,24.4,129.5,20,1.88,8.48,5.53,0.06,24.6,8.18,,8.8,1.85,60.4,0.88,24.3,48.8,13.9,202,9.71,7,26.6,1.7,1.34,31.7,0.85,7.42,-5,2,45.9,5.78,253,-0.5,,-0.5,-1,10,40,-1,5,11,2,,87,10.7,0.13,-0.005,,,0.24,,1,0.01,0.07,,,,
114,13SK195A,FA14029267,EO_dike,-153.9904,61.9371,WGS84,Igneous,Plutonic,granite ,granite dike ,0.66,75.3,0.1,11.7,2.07,0.07,-0.01,0.92,3.64,5.24,-0.01,0.02,-0.01,0.02,0.14,99.44,,,,,,,,,,,,,,,,0.01,0.02,154,86.7,10,13.25,12.7,9.35,0.07,31.1,9.63,,24.3,2.92,37.8,1.76,70.7,39.2,10.7,351,9.9,16,134,5,1.88,21.9,1.57,17,-5,8,75.5,11.25,737,-0.5,,2.6,-1,17,20,-1,1,34,-1,,643,13.6,0.25,0.008,,,0.58,,1.3,0.01,0.21,,,,
115,13SK196A,FA14029267,EO,-153.8967,61.9272,WGS84,Igneous,Plutonic,granite ,"leucocratic granite, <2% biotite ",0.61,71.1,0.3,14.6,2.33,0.01,0.73,2.29,2.9,4.88,0.08,0.15,-0.01,0.03,0.51,101.45,,,,,,,,,,,,,,,,0.6,0.01,1360,22.2,20,3.15,3.13,1.82,0.6,18.5,3.02,,4.2,0.63,9.5,0.32,12.4,12.9,3.04,180.5,3.66,8,296,0.9,0.49,13.25,0.28,4.26,19,3,17.3,2.05,162,-0.5,,-0.5,2,34,10,1,3,4,3,,14,1.1,2.06,-0.005,,,0.13,,0.4,0.08,0.43,,,,
116,13SK197A,FA14029267,P_plut_TP,-154.1572,61.8454,WGS84,Igneous,Plutonic,granite ,fresh granite ,0.84,70.8,0.38,14.55,3.41,0.06,0.44,1.68,3.3,4.67,0.13,0.13,-0.01,0.02,0.96,100.6,,,,,,,,,,,,,,,,-0.01,0.1,1180,106.5,20,6.23,7.33,4.27,0.92,23.9,8.39,,9.2,1.48,50.8,0.61,17.3,47.8,12.8,187.5,10.45,4,181.5,1.3,1.24,19.95,0.58,5.01,20,1,38.9,3.87,339,-0.5,,-0.5,3,4,40,-1,6,28,6,,78,2.9,0.03,-0.005,,,0.6,,0.5,0.01,0.28,,,,
117,13SK198A,FA14029267,P_plut_TP,-154.1572,61.8454,WGS84,Igneous,Plutonic,granite ,granite ,0.53,70.5,0.31,14.55,2.79,0.04,0.33,1.7,3.35,5,0.11,0.13,-0.01,0.02,0.36,99.24,,,,,,,,,,,,,,,,-0.01,0.05,1225,94.2,20,7.61,6.29,3.17,1.05,22.7,7.66,,7.3,1.2,44.7,0.48,14.8,42.3,11.2,188.5,9.32,4,150,1,1.12,17.65,0.49,5.39,15,2,31.8,3.09,280,-0.5,,-0.5,2,1,70,-1,6,20,5,,52,3.6,0.04,-0.005,,,0.1,,0.5,-0.01,0.6,,,,
118,13SK200A,FA14029267,P_plut_TP,-154.2145,61.8452,WGS84,Igneous,Plutonic,granite ,granite ,0.75,67.1,0.41,17.05,3.63,0.05,0.5,2.23,3.59,4.66,0.16,0.32,-0.01,0.03,0.68,100.5,,,,,,,,,,,,,,,,-0.01,0.04,3000,110.5,20,8.84,6.41,3.4,1.87,25.4,7.85,,8.2,1.24,54.6,0.43,17,49,12.9,151.5,9.65,6,288,1,1.11,16.55,0.46,3.04,22,1,32.5,2.79,340,-0.5,,-0.5,2,4,70,-1,10,19,5,,78,5.5,0.04,-0.005,,,0.38,,0.6,0.01,0.31,,,,
119,13SK201B,FA14029267,EO,-154.0858,61.9831,WGS84,Igneous,Plutonic,granite ,unmineralized granite ,0.52,72.7,0.25,13.5,2.7,0.04,0.3,0.92,3.94,4.46,0.05,0.06,-0.01,0.02,0.67,99.67,,,,,,,,,,,,,,,,-0.01,0.07,553,112,10,3.64,6.49,4.34,0.49,23.4,6.66,,8.4,1.41,59.5,0.7,24.6,42.2,12.35,195,7.95,7,112,1.8,1.01,21.8,0.67,5.38,12,2,39,4.59,316,-0.5,,-0.5,1,-1,40,-1,2,19,2,,68,1.6,0.1,-0.005,,,0.23,,0.5,-0.01,0.15,,,,
120,13SK202A,FA14029267,EO,-154.235,61.6603,WGS84,Igneous,Plutonic,granite ,Tired pup leucocratic granite unit ,0.7,73.5,0.22,13.05,2.35,0.03,0.22,1.02,3.05,5.09,0.06,0.07,-0.01,0.01,0.15,98.86,,,,,,,,,,,,,,,,-0.01,0.02,726,115,10,2.8,5.64,3.27,0.68,22.2,7.11,,6.3,1.08,55.5,0.41,16.1,48.3,13.25,160,9.28,2,108,1.1,0.96,18.7,0.47,4.74,7,-1,28.7,2.95,228,-0.5,,-0.5,-1,-1,40,-1,4,14,4,,70,0.7,0.07,-0.005,,,-0.05,,0.5,-0.01,0.41,,,,
121,13SK203A,FA14029267,Ksed_Dalzell,-154.3668,61.5282,WGS84,Sedimentary,,sandstone,"hornfelsed sandstone, minor dikes ",0.53,69.9,0.57,12.1,6.25,0.08,2.59,0.29,1.94,1.52,0.23,0.07,0.02,-0.01,3.08,98.72,,,,,,,,,,,,,,,,-0.01,0.46,719,39.2,150,3.33,3.48,2.08,1.06,14.7,4.21,,3.3,0.75,19.1,0.29,8.5,19.7,4.7,56.5,4.44,1,75.8,0.6,0.6,5.32,0.29,2.09,157,1,19.3,1.85,127,-0.5,,-0.5,10,39,60,-1,69,12,12,,105,8.9,0.18,0.051,,,0.6,,0.7,0.06,0.06,,,,
122,13SK204C,FA14029267,P_plut_TP,-154.2852,61.5772,WGS84,Igneous,Plutonic,granite ,unmineralized granite ,0.66,74,0.15,12.85,1.94,0.03,0.08,0.9,2.89,5.49,0.03,0.14,-0.01,0.01,0.32,98.88,,,,,,,,,,,,,,,,-0.01,0.03,1400,102,10,6.13,7.94,4.91,0.77,21.9,8.39,,5.8,1.59,48,0.7,14.7,45.8,12.05,202,9.54,3,79.8,1,1.33,15.95,0.67,4.48,6,4,43.6,4.64,205,-0.5,,-0.5,-1,3,60,-1,4,23,6,,63,12.5,0.38,-0.005,,,0.1,,0.7,0.01,0.34,,,,
123,13SK206A,FA14029267,P_plut_TP,-154.2897,61.5783,WGS84,Igneous,Plutonic,granite ,granite dike late phase ,0.63,77.5,0.08,11.6,1.47,0.02,0.04,0.3,2.4,5.87,-0.01,0.02,-0.01,-0.01,0.25,99.57,,,,,,,,,,,,,,,,-0.01,0.01,176.5,70.3,10,6.94,9.39,6.17,0.3,21.3,8.34,,4,1.96,28.2,0.97,23.7,35.8,9.22,238,9.03,4,26.3,1.9,1.41,22.2,0.94,7.05,-5,1,53.2,6.4,86,-0.5,,-0.5,-1,-1,60,-1,3,29,3,,52,1.7,0.06,-0.005,,,0.07,,0.5,-0.01,0.16,,,,
124,13SK210A,FA14029267,EO_M,-154.2705,61.6243,WGS84,Igneous,Plutonic,diorite,diorite ,0.64,50.7,2.19,16.5,11.32,0.2,4.4,7.73,3.39,1.95,0.76,0.12,0.01,0.08,0.64,100.15,,,,,,,,,,,,,,,,0.01,0.02,1040,72.4,70,0.88,6.86,3.84,2.29,22.2,8.18,,5.5,1.38,31.5,0.48,19.9,41.1,9.58,33.2,8.76,2,654,0.9,1.08,3.33,0.5,1.28,161,-1,34.5,3.34,254,0.5,,0.5,21,14,20,-1,15,6,22,,158,0.9,0.04,-0.005,,,-0.05,,0.5,0.01,0.2,,,,
125,13SK210C,FA14029267,EO,-154.2705,61.6243,WGS84,Igneous,Plutonic,leucogranite,leucocratic dikes ,0.12,74.1,0.11,12.7,2.57,0.04,0.02,0.63,2.66,6.52,0.01,-0.01,-0.01,-0.01,0.03,99.42,,,,,,,,,,,,,,,,-0.01,0.03,33.4,32.4,10,5.37,4.87,2.51,0.18,20.9,5.34,,2.2,0.93,13.8,0.41,11.8,18.2,4.32,162.5,5.55,7,14.1,0.8,0.8,6.97,0.36,2.06,-5,-1,22.6,2.33,63,-0.5,,-0.5,-1,-1,30,-1,2,16,7,,70,0.7,0.1,-0.005,,,-0.05,,0.3,-0.01,0.31,,,,
126,13SK212A,FA14029267,P_plut_TP,-154.2959,61.6625,WGS84,Igneous,Plutonic,granite ,porphyritic granite ,0.73,70.4,0.42,13.75,3.67,0.06,0.44,1.51,3.03,5.04,0.11,0.18,0.02,0.01,0.26,98.96,,,,,,,,,,,,,,,,-0.01,0.04,1725,108.5,20,6.41,6.76,3.99,1.07,22.5,7.99,,10,1.42,53.1,0.56,18.9,48.2,12.7,175.5,9.65,3,134.5,1,1.15,19.45,0.56,6.56,22,1,36.2,3.64,409,-0.5,,-0.5,2,5,40,-1,7,18,8,,114,1.8,0.06,-0.005,,,0.11,,0.6,0.01,0.62,,,,
127,13SK212B,FA14029267,EO_M_dike,-154.2959,61.6625,WGS84,Igneous,Volcanic,mafic,mafic dike ,0.58,50.1,1.58,15.9,10.65,0.19,5.78,8.28,2.98,2.98,0.41,0.14,0.03,0.05,0.67,99.87,,,,,,,,,,,,,,,,-0.01,0.03,1290,62,180,7.04,5.8,3.5,1.66,20.3,6.74,,4,1.19,29.8,0.49,12.4,33.1,7.73,163.5,7.54,2,419,0.7,1,7.88,0.46,2.9,199,1,30.5,3.02,163,-0.5,,-0.5,30,33,120,-1,40,11,22,,116,1.9,0.06,-0.005,,,-0.05,,0.7,0.01,1.39,,,,
